time,UID,FirstName,LastName,Gender,Age,Height,Zip,Job,Salary
2014/03/01 00:00:00 EST,10000,first2,last2,Female,48,7,15213,boss,344808
2014/03/01 00:00:30 EST,10001,first3,last3,Male,37,17,06117,executive,359833
2014/03/01 00:01:00 EST,10002,first3,last3,Male,28,18,33483,executive,427216
2014/03/01 00:01:30 EST,10003,first1,last1,Female,33,12,90266,boss,317511
2014/03/01 00:02:00 EST,10004,first1,last3,Female,44,20,15213,boss,360894
2014/03/01 00:02:30 EST,10005,first1,last1,Male,38,17,06117,worker,374497
2014/03/01 00:03:00 EST,10006,first1,last3,Male,38,18,90266,worker,339029
2014/03/01 00:03:30 EST,10007,first1,last3,Female,49,12,06117,worker,334326
2014/03/01 00:04:00 EST,10008,first2,last2,Male,45,17,33483,boss,358115
2014/03/01 00:04:30 EST,10009,first1,last3,Female,44,16,06117,boss,340411
2014/03/01 00:05:00 EST,10010,first3,last3,Male,45,11,15213,boss,371298
2014/03/01 00:05:30 EST,10011,first2,last2,Female,38,17,06117,worker,356964
2014/03/01 00:06:00 EST,10012,first3,last2,Male,41,10,33483,worker,334766
2014/03/01 00:06:30 EST,10013,first3,last3,Male,27,20,06117,executive,242800
2014/03/01 00:07:00 EST,10014,first2,last2,Male,43,10,06117,executive,318564
2014/03/01 00:07:30 EST,10015,first2,last2,Male,33,12,06117,executive,376633
2014/03/01 00:08:00 EST,10016,first3,last3,Female,26,15,06117,boss,377933
2014/03/01 00:08:30 EST,10017,first1,last2,Female,44,9,06117,boss,300877
2014/03/01 00:09:00 EST,10018,first1,last2,Male,32,14,15213,boss,301969
2014/03/01 00:09:30 EST,10019,first2,last3,Male,48,15,33483,executive,302627
2014/03/01 00:10:00 EST,10020,first2,last1,Male,40,9,33483,executive,304206
2014/03/01 00:10:30 EST,10021,first3,last1,Male,39,15,15213,executive,392376
2014/03/01 00:11:00 EST,10022,first2,last2,Male,42,14,90266,executive,293495
2014/03/01 00:11:30 EST,10023,first1,last1,Male,35,11,90266,boss,347158
2014/03/01 00:12:00 EST,10024,first1,last3,Female,43,16,33483,boss,341833
2014/03/01 00:12:30 EST,10025,first3,last1,Male,40,9,33483,executive,384366
2014/03/01 00:13:00 EST,10026,first3,last2,Male,41,12,90266,boss,331150
2014/03/01 00:13:30 EST,10027,first2,last3,Male,39,12,33483,worker,276023
2014/03/01 00:14:00 EST,10028,first1,last1,Female,46,9,33483,executive,286551
2014/03/01 00:14:30 EST,10029,first1,last2,Female,47,19,15213,worker,270729
2014/03/01 00:15:00 EST,10030,first2,last1,Male,48,14,33483,worker,305819
2014/03/01 00:15:30 EST,10031,first3,last2,Female,41,10,06117,executive,316504
2014/03/01 00:16:00 EST,10032,first3,last1,Male,39,10,06117,boss,352675
2014/03/01 00:16:30 EST,10033,first3,last2,Female,38,18,90266,worker,326515
2014/03/01 00:17:00 EST,10034,first3,last1,Male,43,9,06117,boss,331572
2014/03/01 00:17:30 EST,10035,first3,last2,Female,45,8,90266,executive,443550
2014/03/01 00:17:59 EST,10036,first1,last2,Male,39,12,33483,worker,278703
2014/03/01 00:18:29 EST,10037,first3,last3,Male,40,14,33483,executive,336089
2014/03/01 00:18:59 EST,10038,first3,last2,Female,40,18,06117,worker,264071
2014/03/01 00:19:29 EST,10039,first1,last1,Female,39,8,15213,boss,314306
2014/03/01 00:19:59 EST,10040,first2,last1,Male,28,16,15213,worker,324095
2014/03/01 00:20:29 EST,10041,first1,last2,Male,51,9,06117,boss,350287
2014/03/01 00:20:59 EST,10042,first3,last3,Male,44,13,06117,worker,317153
2014/03/01 00:21:29 EST,10043,first2,last3,Male,49,14,33483,boss,315101
2014/03/01 00:21:59 EST,10044,first3,last1,Male,39,15,33483,executive,352041
2014/03/01 00:22:29 EST,10045,first1,last3,Female,34,15,15213,boss,351713
2014/03/01 00:22:59 EST,10046,first1,last2,Male,41,17,15213,boss,356962
